Timestamp,Geth_CPU(%),Geth_Mem,Geth_Latency(ms),Geth_Peers,Geth_Block,Geth_TX_Pending,Geth_Ingress_Bytes,Geth_Egress_Bytes,Geth_GasPrice(Gwei),Geth_BaseFee(Gwei),Geth_GasUsed,Geth_GasLimit,Geth_GasUsage(%),Geth_TxCount,Geth_Internal_Latency(us),Prysm_CPU(%),Prysm_Mem,Prysm_Latency(ms),Prysm_Peers,Prysm_Slot,Prysm_Finalized,Prysm_Validators,Prysm_Reorgs
2025-12-15T18:49:16.275117,0.00,0B,23.29,0,0,0,0,0,0.00,0.00,0,0,0.00,0,0.00,2.09,164.9MiB,0.97,0,0,0,0,0
2025-12-15T18:49:27.859901,0.00,0B,0.00,0,0,0,0,0,0.00,0.00,0,0,0.00,0,0.00,2.71,164.7MiB,2.99,0,0,0,0,0
2025-12-15T18:49:39.475911,0.00,0B,0.00,0,0,0,0,0,0.00,0.00,0,0,0.00,0,0.00,2.53,164.8MiB,3.15,0,0,0,0,0
